,team,position,Height,Weight,Birthdate,Full_name,age,First_name,Last_name,Name
22,FA,F/C,"6'9""",245,8/09/1982, Joel  Anthony,35.43326488706366,Joel,Anthony,J. Anthony
23,TOR,F,"6'8""",232,7/17/1997, OG  Anunoby,20.49555099247091,OG,Anunoby,O. Anunoby
24,CHI,PG,"6'3""",208,3/26/1994, Ryan  Arcidiacono,23.805612594113622,Ryan,Arcidiacono,R. Arcidiacono
25,HOU,G/F,"6'8""",215,6/30/1985, Trevor  Ariza,32.54209445585216,Trevor,Ariza,T. Ariza
26,DEN,F/C,"6'9""",235,3/25/1988, Darrell  Arthur,29.806981519507186,Darrell,Arthur,D. Arthur
27,ORL,SF,"6'7""",215,1/12/1993, Jamel  Artis,25.00479123887748,Jamel,Artis,J. Artis
28,FA,PF,"6'9""",230,7/15/1994, Brandon  Ashley,23.50171115674196,Brandon,Ashley,B. Ashley
29,NO,F/C,"7'0""",255,7/04/1986, Omer  Asik,31.531827515400412,Omer,Asik,O. Asik
30,ORL,PG,"6'0""",183,11/10/1987, D.J.  Augustin,30.17932922655715,D.J.,Augustin,D. Augustin
31,ATL,SF,"6'9""",225,6/20/1989, Luke  Babbitt,28.569472963723477,Luke,Babbitt,L. Babbitt
32,CHA,SG,"6'7""",221,8/30/1995, Dwayne  Bacon,22.376454483230663,Dwayne,Bacon,D. Bacon
33,NY,G,"6'4""",220,3/30/1993, Ron  Baker,24.79397672826831,Ron,Baker,R. Baker
34,POR,PG,"6'4""",202,3/29/1996, Wade  Baldwin IV,21.796030116358658,Wade,Baldwin IV,W. Baldwin IV
35,LAL,PG,"6'6""",190,10/27/1997, Lonzo  Ball,20.216290212183434,Lonzo,Ball,L. Ball
36,FA,G,"6'3""",194,11/28/1982, Leandro  Barbosa,35.12936344969199,Leandro,Barbosa,L. Barbosa
37,DAL,G,"6'0""",185,6/26/1984, J.J.  Barea,33.5523613963039,J.J.,Barea,J. Barea
38,DAL,F,"6'8""",225,5/30/1992, Harrison  Barnes,25.626283367556468,Harrison,Barnes,H. Barnes
39,FA,G/F,"6'7""",226,3/09/1980, Matt  Barnes,37.8507871321013,Matt,Barnes,M. Barnes
40,DEN,G/F,"6'6""",175,1/06/1991, Will  Barton,27.02258726899384,Will,Barton,W. Barton
41,FA,F/C,"6'8""",250,4/30/1985, Brandon  Bass,32.709103353867214,Brandon,Bass,B. Bass
42,CHA,G/F,"6'8""",220,12/14/1988, Nicolas  Batum,29.084188911704313,Nicolas,Batum,N. Batum
43,PHI,G,"6'3""",210,8/20/1988, Jerryd  Bayless,29.401779603011637,Jerryd,Bayless,J. Bayless
44,BOS,C,"6'10""",260,12/09/1986, Aron  Baynes,31.09924709103354,Aron,Baynes,A. Baynes
45,ATL,G/F,"6'5""",201,7/01/1989, Kent  Bazemore,28.539356605065024,Kent,Bazemore,K. Bazemore
46,FA,SF,"6'8""",201,1/15/1995, V.J.  Beachem,22.99794661190965,V.J.,Beachem,V. Beachem
47,WSH,SG,"6'5""",207,6/28/1993, Bradley  Beal,24.54757015742642,Bradley,Beal,B. Beal
48,DEN,G,"6'5""",195,11/26/1996, Malik  Beasley,21.13347022587269,Malik,Beasley,M. Beasley
49,NY,F,"6'9""",235,1/09/1989, Michael  Beasley,29.013004791238878,Michael,Beasley,M. Beasley
50,ATL,G/F,"6'5""",210,3/25/1986, Marco  Belinelli,31.808350444900753,Marco,Belinelli,M. Belinelli
51,GS,F/C,"6'9""",224,1/07/1995, Jordan  Bell,23.019849418206707,Jordan,Bell,J. Bell
52,ATL,SF,"6'6""",210,7/04/1994, DeAndre'  Bembry,23.531827515400412,DeAndre',Bembry,D. Bembry
53,PHX,PF,"7'1""",225,11/17/1997, Dragan  Bender,20.15879534565366,Dragan,Bender,D. Bender
54,FA,F,"6'8""",235,3/14/1993, Anthony  Bennett,24.83778234086242,Anthony,Bennett,A. Bennett
55,FA,SG,"6'4""",184,11/01/1991, Davion  Berry,26.203969883641342,Davion,Berry,D. Berry
56,SA,F,"6'10""",210,11/12/1992, Davis  Bertans,25.17180013689254,Davis,Bertans,D. Bertans
57,LAC,G,"6'1""",185,7/12/1988, Patrick  Beverley,29.508555783709788,Patrick,Beverley,P. Beverley
58,ORL,F/C,"6'9""",215,9/28/1992, Khem  Birch,25.295003422313485,Khem,Birch,K. Birch
59,BOS,SG,"6'6""",197,7/03/1994, Jabari  Bird,23.534565366187543,Jabari,Bird,J. Bird
60,ORL,F/C,"6'9""",255,8/28/1992, Bismack  Biyombo,25.37987679671458,Bismack,Biyombo,B. Biyombo
61,MIN,PF,"6'10""",235,5/09/1988, Nemanja  Bjelica,29.683778234086244,Nemanja,Bjelica,N. Bjelica
62,HOU,F/C,"6'9""",250,11/22/1991, Tarik  Black,26.146475017111566,Tarik,Black,T. Black
63,FA,SG,"6'4""",200,4/25/1995, James  Blackmon Jr.,22.72416153319644,James,Blackmon Jr.,J. Blackmon Jr.
64,CHI,PG,"6'4""",197,10/04/1996, Antonio  Blakeney,21.27857631759069,Antonio,Blakeney,A. Blakeney
65,MIL,G,"6'1""",205,12/09/1989, Eric  Bledsoe,28.098562628336754,Eric,Bledsoe,E. Bledsoe
66,FA,SF,"6'7""",220,9/16/1993, Jaron  Blossomgame,24.32854209445585,Jaron,Blossomgame,J. Blossomgame
67,LAL,PG,"6'5""",200,7/17/1992, Vander  Blue,25.49486652977413,Vander,Blue,V. Blue
68,SAC,SG,"6'6""",205,8/18/1992, Bogdan  Bogdanovic,25.4072553045859,Bogdan,Bogdanovic,B. Bogdanovic
69,IND,G/F,"6'8""",216,4/18/1989, Bojan  Bogdanovic,28.7419575633128,Bojan,Bogdanovic,B. Bogdanovic
70,LAL,C,"7'0""",260,11/28/1984, Andrew  Bogut,33.12799452429842,Andrew,Bogut,A. Bogut
71,FA,PF,"6'10""",220,1/02/1996, Jonah  Bolden,22.034223134839152,Jonah,Bolden,J. Bolden
72,MIL,PF,"6'9""",235,1/28/1994, Joel  Bolomboy,23.96167008898015,Joel,Bolomboy,J. Bolomboy
73,PHX,SG,"6'6""",210,10/30/1996, Devin  Booker,21.207392197125255,Devin,Booker,D. Booker
74,PHI,F/C,"6'8""",228,11/25/1987, Trevor  Booker,30.138261464750173,Trevor,Booker,T. Booker
75,FA,F/C,"6'11""",235,3/24/1984, Chris  Bosh,33.80971937029432,Chris,Bosh,C. Bosh
76,GS,F/C,"6'10""",200,1/11/1993, Chris  Boucher,25.00752908966461,Chris,Boucher,C. Boucher
77,DET,G,"6'2""",180,11/26/1990, Avery  Bradley,27.134839151266256,Avery,Bradley,A. Bradley
78,UTA,C,"6'10""",248,2/08/1998, Tony  Bradley,19.9315537303217,Tony,Bradley,T. Bradley
79,FA,SG,"6'7""",210,7/06/1991, Taylor  Braun,26.527036276522928,Taylor,Braun,T. Braun
80,LAL,G/F,"6'9""",186,3/05/1986, Corey  Brewer,31.863107460643395,Corey,Brewer,C. Brewer
81,FA,C,"7'0""",230,2/11/1994, Amida  Brimah,23.923340177960302,Amida,Brimah,A. Brimah
82,FA,PG,"6'3""",210,4/13/1996, Isaiah  Briscoe,21.754962354551676,Isaiah,Briscoe,I. Briscoe
83,MIL,G,"6'5""",215,12/11/1992, Malcolm  Brogdon,25.09240246406571,Malcolm,Brogdon,M. Brogdon
84,MIN,PG,"6'0""",161,1/14/1985, Aaron  Brooks,32.99931553730322,Aaron,Brooks,A. Brooks
85,MEM,G/F,"6'6""",220,1/22/1996, Dillon  Brooks,21.97946611909651,Dillon,Brooks,D. Brooks
86,MIN,SF,"6'7""",224,10/10/1992, Anthony  Brown,25.2621492128679,Anthony,Brown,A. Brown
87,HOU,G,"6'2""",175,9/24/1984, Bobby  Brown,33.30595482546201,Bobby,Brown,B. Brown
88,BOS,G/F,"6'7""",225,10/24/1996, Jaylen  Brown,21.22381930184805,Jaylen,Brown,J. Brown
89,TOR,PG,"6'5""",189,8/26/1990, Lorenzo  Brown,27.38672142368241,Lorenzo,Brown,L. Brown
90,FA,SG,"6'3""",185,1/29/1992, Markel  Brown,25.960301163586585,Markel,Brown,M. Brown
91,MIL,SG,"6'6""",230,2/10/1995, Sterling  Brown,22.926762491444215,Sterling,Brown,S. Brown
92,ATL,G/F,"6'8""",195,3/02/1993, Nicolas  Brussino,24.870636550308006,Nicolas,Brussino,N. Brussino
93,LAL,C,"6'10""",248,7/31/1997, Thomas  Bryant,20.45722108145106,Thomas,Bryant,T. Bryant
94,DET,G/F,"6'7""",205,3/16/1991, Reggie  Bullock,26.833675564681723,Reggie,Bullock,R. Bullock
95,FA,PG,"6'1""",191,11/12/1992, Trey  Burke,25.17180013689254,Trey,Burke,T. Burke
96,UTA,G,"6'6""",214,7/20/1991, Alec  Burks,26.48870636550308,Alec,Burks,A. Burks
97,MIN,G/F,"6'8""",236,9/14/1989, Jimmy  Butler,28.334017796030118,Jimmy,Butler,J. Butler
98,DET,PG,"6'3""",190,3/06/1989, Dwight  Buycks,28.859685147159478,Dwight,Buycks,D. Buycks
99,TOR,SF,"6'9""",218,9/21/1995, Bruno  Caboclo,22.316221765913756,Bruno,Caboclo,B. Caboclo
100,CLE,PG,"6'3""",200,9/28/1981, Jose  Calderon,36.29568788501027,Jose,Calderon,J. Calderon
101,LAL,G/F,"6'5""",205,2/18/1993, Kentavious  Caldwell-Pope,24.903490759753595,Kentavious,Caldwell-Pope,K. Caldwell-Pope
102,PHX,PG,"6'0""",201,5/21/1991, Isaiah  Canaan,26.652977412731005,Isaiah,Canaan,I. Canaan
103,FA,SF,"6'8""",210,4/10/1997, Vlatko  Cancar,20.763860369609855,Vlatko,Cancar,V. Cancar
104,HOU,F/C,"6'10""",240,5/18/1994, Clint  Capela,23.66050650239562,Clint,Capela,C. Capela
105,BKN,F,"6'8""",215,7/27/1986, DeMarre  Carroll,31.468856947296374,DeMarre,Carroll,D. Carroll
106,SAC,G/F,"6'6""",220,1/26/1977, Vince  Carter,40.96646132785763,Vince,Carter,V. Carter
107,CHA,PG,"6'6""",190,10/10/1991, Michael  Carter-Williams,26.26420260095825,Michael,Carter-Williams,M. Carter-Williams
108,LAL,SG,"6'4""",181,2/28/1994, Alex  Caruso,23.876796714579054,Alex,Caruso,A. Caruso
109,GS,F,"6'9""",225,6/22/1988, Omri  Casspi,29.56331279945243,Omri,Casspi,O. Casspi
110,SAC,F/C,"7'0""",240,8/18/1993, Willie  Cauley-Stein,24.407939767282684,Willie,Cauley-Stein,W. Cauley-Stein
111,FA,SG,"6'4""",210,11/29/1995, Troy  Caupain,22.127310061601644,Troy,Caupain,T. Caupain
112,ATL,F/C,"6'9""",238,2/09/1994, Tyler  Cavanaugh,23.928815879534564,Tyler,Cavanaugh,T. Cavanaugh
113,MEM,G,"6'2""",190,5/19/1986, Mario  Chalmers,31.65776865160849,Mario,Chalmers,M. Chalmers
114,PHX,C,"7'1""",240,10/02/1982, Tyson  Chandler,35.285420944558524,Tyson,Chandler,T. Chandler
115,DEN,G/F,"6'8""",225,5/10/1987, Wilson  Chandler,30.68309377138946,Wilson,Chandler,W. Chandler
116,FA,G/F,"6'8""",210,6/20/1983, Josh  Childress,34.57084188911704,Josh,Childress,J. Childress
117,PHX,F/C,"6'10""",240,7/02/1997, Marquese  Chriss,20.536618754277892,Marquese,Chriss,M. Chriss
118,FA,PF,"6'9""",250,12/01/1991, Rakeem  Christmas,26.12183436002738,Rakeem,Christmas,R. Christmas
119,FA,PG,"6'3""",190,11/01/1992, Semaj  Christon,25.201916495550993,Semaj,Christon,S. Christon
120,NO,G,"6'3""",175,3/07/1991, Ian  Clark,26.858316221765914,Ian,Clark,I. Clark
121,LAL,G,"6'5""",194,6/07/1992, Jordan  Clarkson,25.60438056125941,Jordan,Clarkson,J. Clarkson
122,DAL,PG,"6'4""",185,11/26/1993, Gian  Clavell,24.134154688569474,Gian,Clavell,G. Clavell
123,DAL,SG,"6'6""",195,2/02/1994, Antonius  Cleveland,23.94798083504449,Antonius,Cleveland,A. Cleveland
124,FA,G,"6'2""",175,10/13/1988, Norris  Cole,29.253935660506503,Norris,Cole,N. Cole
125,ATL,F/C,"6'10""",235,9/23/1997, John  Collins,20.309377138945926,John,Collins,J. Collins
126,POR,F/C,"7'0""",235,11/19/1997, Zach  Collins,20.1533196440794,Zach,Collins,Z. Collins
127,DAL,SG,"6'6""",215,10/03/1991, Kyle  Collinsworth,26.28336755646817,Kyle,Collinsworth,K. Collinsworth
128,IND,G,"6'0""",175,8/23/1987, Darren  Collison,30.39561943874059,Darren,Collison,D. Collison
129,OKC,F/C,"6'10""",255,10/26/1980, Nick  Collison,37.21834360027378,Nick,Collison,N. Collison
130,MEM,PG,"6'1""",175,10/11/1987, Mike  Conley,30.261464750171115,Mike,Conley,M. Conley
131,POR,G/F,"6'5""",210,1/06/1993, Pat  Connaughton,25.021218343600275,Pat,Connaughton,P. Connaughton
132,GS,PG,"6'2""",179,3/23/1993, Quinn  Cook,24.813141683778234,Quinn,Cook,Q. Cook
133,NO,SG,"6'5""",196,7/01/1994, Charles  Cooke,23.540041067761805,Charles,Cooke,C. Cooke
134,SAC,F/C,"6'10""",274,4/04/1991, Jack  Cooley,26.781656399726216,Jack,Cooley,J. Cooley
135,SA,PF,"6'10""",240,8/05/1993, Matt  Costello,24.4435318275154,Matt,Costello,M. Costello
136,NO,F/C,"6'11""",270,8/13/1990, DeMarcus  Cousins,27.422313483915126,DeMarcus,Cousins,D. Cousins
137,PHI,F,"6'9""",225,12/14/1990, Robert  Covington,27.085557837097877,Robert,Covington,R. Covington
138,BKN,G/F,"6'6""",215,4/09/1992, Allen  Crabbe,25.765913757700204,Allen,Crabbe,A. Crabbe
139,DEN,G/F,"6'6""",215,12/19/1990, Torrey  Craig,27.071868583162217,Torrey,Craig,T. Craig
140,MIN,G/F,"6'5""",185,3/20/1980, Jamal  Crawford,37.82067077344285,Jamal,Crawford,J. Crawford
141,NO,G,"6'4""",195,10/23/1988, Jordan  Crawford,29.22655715263518,Jordan,Crawford,J. Crawford
142,CLE,F,"6'6""",235,7/06/1990, Jae  Crowder,27.526351813826146,Jae,Crowder,J. Crowder
143,NO,F,"6'8""",230,4/22/1987, Dante  Cunningham,30.732375085557837,Dante,Cunningham,D. Cunningham
144,DAL,G,"6'2""",185,8/23/1990, Seth  Curry,27.394934976043807,Seth,Curry,S. Curry
145,GS,G,"6'3""",190,3/14/1988, Stephen  Curry,29.83709787816564,Stephen,Curry,S. Curry
146,PHX,G,"6'4""",205,7/15/1991, Troy  Daniels,26.50239561943874,Troy,Daniels,T. Daniels
147,NO,F/C,"6'10""",253,3/11/1993, Anthony  Davis,24.84599589322382,Anthony,Davis,A. Davis
148,MEM,PF,"6'11""",237,12/02/1996, Deyonta  Davis,21.117043121149898,Deyonta,Davis,D. Davis
149,POR,F/C,"6'10""",225,6/05/1989, Ed  Davis,28.61054072553046,Ed,Davis,E. Davis
150,FA,PG,"6'6""",194,5/24/1996, George  de Paula,21.642710472279262,George,de Paula,G. de Paula
151,ATL,C,"7'0""",245,8/12/1989, Dewayne  Dedmon,28.424366872005475,Dewayne,Dedmon,D. Dedmon
152,LAC,F,"6'9""",230,5/06/1994, Sam  Dekker,23.693360711841205,Sam,Dekker,S. Dekker
153,ATL,G,"6'3""",190,3/11/1989, Malcolm  Delaney,28.84599589322382,Malcolm,Delaney,M. Delaney
154,MIL,G,"6'4""",198,9/08/1990, Matthew  Dellavedova,27.351129363449694,Matthew,Dellavedova,M. Dellavedova
155,LAL,F,"6'9""",220,4/16/1985, Luol  Deng,32.747433264887064,Luol,Deng,L. Deng
156,TOR,G/F,"6'7""",221,8/07/1989, DeMar  DeRozan,28.438056125941138,DeMar,DeRozan,D. DeRozan
157,NO,PF,"6'9""",220,9/13/1996, Cheick  Diallo,21.336071184120467,Cheick,Diallo,C. Diallo
158,FA,F/C,"6'8""",250,4/16/1982, Boris  Diaw,35.748117727583846,Boris,Diaw,B. Diaw
159,MIN,F/C,"6'11""",251,1/18/1990, Gorgui  Dieng,27.98904859685147,Gorgui,Dieng,G. Dieng
160,BKN,PG,"6'6""",200,4/06/1993, Spencer  Dinwiddie,24.774811772758383,Spencer,Dinwiddie,S. Dinwiddie
161,FA,SG,"6'6""",210,-, Daniel  Dixon,,Daniel,Dixon,D. Dixon
162,ATL,PG,"6'5""",183,2/14/1996, Tyler  Dorsey,21.916495550992472,Tyler,Dorsey,T. Dorsey
163,NY,SG,"6'6""",205,5/06/1994, Damyean  Dotson,23.693360711841205,Damyean,Dotson,D. Dotson
164,BKN,PG,"6'4""",185,10/31/1993, Milton  Doyle,24.205338809034906,Milton,Doyle,M. Doyle
165,OKC,PG,"6'6""",205,10/25/1996, PJ  Dozier,21.22108145106092,PJ,Dozier,P. Dozier
166,MIA,G,"6'3""",190,5/06/1986, Goran  Dragic,31.693360711841205,Goran,Dragic,G. Dragic
167,FA,PG,"6'2""",180,3/05/1990, Larry  Drew II,27.863107460643395,Larry,Drew II,L. Drew II
168,DET,F/C,"6'11""",279,8/10/1993, Andre  Drummond,24.42984257357974,Andre,Drummond,A. Drummond
169,PHX,F,"6'7""",240,7/10/1985, Jared  Dudley,32.51471594798083,Jared,Dudley,J. Dudley
170,FA,G/F,"6'9""",220,9/15/1980, Mike  Dunleavy,37.3305954825462,Mike,Dunleavy,M. Dunleavy
171,CHI,G,"6'4""",208,3/18/1994, Kris  Dunn,23.82751540041068,Kris,Dunn,K. Dunn
172,GS,F,"6'9""",240,9/29/1988, Kevin  Durant,29.29226557152635,Kevin,Durant,K. Durant
173,FA,SG,"6'7""",218,10/30/1991, Jarell  Eddie,26.209445585215605,Jarell,Eddie,J. Eddie
174,DET,PF,"6'11""",245,1/13/1997, Henry  Ellenson,21.00205338809035,Henry,Ellenson,H. Ellenson
175,MIA,G/F,"6'5""",208,11/29/1987, Wayne  Ellington,30.127310061601644,Wayne,Ellington,W. Ellington
176,FA,G,"6'3""",185,10/26/1985, Monta  Ellis,32.219028062970565,Monta,Ellis,M. Ellis
177,PHI,F/C,"7'0""",260,3/16/1994, Joel  Embiid,23.83299110198494,Joel,Embiid,J. Embiid
178,LAL,PG,"6'3""",194,8/24/1994, Tyler  Ennis,23.392197125256672,Tyler,Ennis,T. Ennis
179,MEM,G/F,"6'7""",210,7/01/1990, James  Ennis III,27.540041067761805,James,Ennis III,J. Ennis III
180,LAC,PG,"6'0""",190,7/26/1996, Jawun  Evans,21.470225872689937,Jawun,Evans,J. Evans
181,FA,F,"6'9""",200,10/24/1987, Jeremy  Evans,30.2258726899384,Jeremy,Evans,J. Evans
182,MEM,G,"6'6""",220,9/19/1989, Tyreke  Evans,28.320328542094455,Tyreke,Evans,T. Evans
183,UTA,G,"6'6""",190,7/13/1995, Dante  Exum,22.507871321013006,Dante,Exum,D. Exum
184,FA,C,"6'11""",265,10/21/1989, Festus  Ezeli,28.23271731690623,Festus,Ezeli,F. Ezeli
185,DEN,F/C,"6'8""",228,11/19/1989, Kenneth  Faried,28.1533196440794,Kenneth,Faried,K. Faried
186,UTA,F/C,"6'10""",265,7/15/1991, Derrick  Favors,26.50239561943874,Derrick,Favors,D. Favors
187,CHI,PG,"5'9""",176,3/29/1995, Kay  Felder,22.798083504449007,Kay,Felder,K. Felder
188,CHI,C,"6'10""",290,7/07/1992, Cristiano  Felicio,25.522245037645447,Cristiano,Felicio,C. Felicio
189,WSH,G/F,"6'6""",200,8/17/1990, Carrick  Felix,27.411362080766597,Carrick,Felix,C. Felix
190,OKC,G,"6'1""",205,6/26/1984, Raymond  Felton,33.5523613963039,Raymond,Felton,R. Felton
191,OKC,G/F,"6'7""",184,5/17/1998, Terrance  Ferguson,19.66324435318275,Terrance,Ferguson,T. Ferguson
192,DAL,G,"6'0""",180,5/09/1993, Yogi  Ferrell,24.684462696783026,Yogi,Ferrell,Y. Ferrell
193,DAL,F,"6'8""",220,5/04/1993, Dorian  Finney-Smith,24.698151950718685,Dorian,Finney-Smith,D. Finney-Smith
194,SA,PG,"6'3""",190,7/23/1993, Bryn  Forbes,24.479123887748116,Bryn,Forbes,B. Forbes
195,ORL,G/F,"6'7""",205,10/29/1992, Evan  Fournier,25.21013004791239,Evan,Fournier,E. Fournier
196,SAC,PG,"6'3""",175,12/20/1997, De'Aaron  Fox,20.0684462696783,De'Aaron,Fox,D. Fox
197,FA,G,"6'4""",218,9/24/1983, Randy  Foye,34.30800821355236,Randy,Foye,R. Foye
198,WSH,G,"6'1""",170,11/01/1990, Tim  Frazier,27.20328542094456,Tim,Frazier,T. Frazier
199,CLE,F/C,"6'11""",255,5/17/1983, Channing  Frye,34.66392881587954,Channing,Frye,C. Frye
200,PHI,G,"6'4""",200,5/29/1998, Markelle  Fultz,19.630390143737166,Markelle,Fultz,M. Fultz
201,LAC,F,"6'10""",225,8/08/1988, Danilo  Gallinari,29.43463381245722,Danilo,Gallinari,D. Gallinari
202,DET,G,"6'2""",200,12/09/1991, Langston  Galloway,26.099931553730322,Langston,Galloway,L. Galloway
203,FA,SG,"6'6""",210,5/17/1993, Patricio  Garino,24.66255989048597,Patricio,Garino,P. Garino
204,MEM,C,"7'1""",255,1/29/1985, Marc  Gasol,32.95824777549623,Marc,Gasol,M. Gasol
205,SA,F/C,"7'0""",250,7/06/1980, Pau  Gasol,37.52498288843258,Pau,Gasol,P. Gasol
206,SA,F,"6'8""",230,8/17/1986, Rudy  Gay,31.411362080766597,Rudy,Gay,R. Gay
207,FA,SF,"6'7""",200,6/05/1992, Michael  Gbinije,25.609856262833677,Michael,Gbinije,M. Gbinije
208,OKC,G/F,"6'9""",220,5/02/1990, Paul  George,27.704312114989733,Paul,George,P. George
209,MIN,SG,"6'5""",226,3/28/1994, Marcus  Georges-Hunt,23.800136892539356,Marcus,Georges-Hunt,M. Georges-Hunt
210,MIN,F/C,"6'9""",235,6/24/1985, Taj  Gibson,32.558521560574945,Taj,Gibson,T. Gibson
211,SAC,F/C,"6'10""",240,4/22/1998, Harry  Giles,19.731690622861056,Harry,Giles,H. Giles
212,SA,G/F,"6'6""",205,7/28/1977, Manu  Ginobili,40.46543463381246,Manu,Ginobili,M. Ginobili
213,UTA,C,"7'1""",245,6/26/1992, Rudy  Gobert,25.5523613963039,Rudy,Gobert,R. Gobert
214,FA,G,"6'5""",205,8/17/1994, Archie  Goodwin,23.411362080766597,Archie,Goodwin,A. Goodwin
215,ORL,F,"6'9""",220,9/16/1995, Aaron  Gordon,22.32991101984942,Aaron,Gordon,A. Gordon
216,HOU,SG,"6'4""",215,12/25/1988, Eric  Gordon,29.05407255304586,Eric,Gordon,E. Gordon
217,WSH,C,"6'11""",240,2/17/1984, Marcin  Gortat,33.908281998631075,Marcin,Gortat,M. Gortat
218,FA,SG,"6'5""",195,3/26/1993, Torian  Graham,24.804928131416837,Torian,Graham,T. Graham
219,CHA,G/F,"6'5""",219,10/28/1993, Treveon  Graham,24.213552361396303,Treveon,Graham,T. Graham
220,OKC,F,"6'9""",220,3/12/1994, Jerami  Grant,23.84394250513347,Jerami,Grant,J. Grant
221,CHI,G,"6'4""",205,10/09/1992, Jerian  Grant,25.26488706365503,Jerian,Grant,J. Grant
222,SA,G/F,"6'6""",215,6/22/1987, Danny  Green,30.56536618754278,Danny,Green,D. Green
223,GS,F/C,"6'7""",230,3/04/1990, Draymond  Green,27.865845311430526,Draymond,Green,D. Green
224,HOU,G/F,"6'7""",205,1/26/1986, Gerald  Green,31.967145790554415,Gerald,Green,G. Green
225,MEM,F/C,"6'9""",227,6/21/1990, JaMychal  Green,27.567419575633128,JaMychal,Green,J. Green
226,CLE,F,"6'9""",235,8/28/1986, Jeff  Green,31.381245722108144,Jeff,Green,J. Green
227,LAC,F/C,"6'10""",251,3/16/1989, Blake  Griffin,28.83230663928816,Blake,Griffin,B. Griffin
228,UTA,SF,"6'7""",205,5/26/1990, Eric  Griffin,27.638603696098563,Eric,Griffin,E. Griffin
229,FA,PG,"6'4""",195,10/05/1993, Alex  Hamilton,24.27652292950034,Alex,Hamilton,A. Hamilton
230,OKC,SF,"6'7""",195,8/08/1995, Daniel  Hamilton,22.43668720054757,Daniel,Hamilton,D. Hamilton
231,FA,SG,"6'5""",195,5/14/1994, Isaac  Hamilton,23.67145790554415,Isaac,Hamilton,I. Hamilton
232,FA,F/C,"7'0""",255,4/01/1990, Justin  Hamilton,27.789185489390828,Justin,Hamilton,J. Hamilton
233,MIA,C,"7'0""",250,8/27/1992, A.J.  Hammons,25.38261464750171,A.J.,Hammons,A. Hammons
234,NY,G/F,"6'6""",205,3/16/1992, Tim  Hardaway Jr.,25.831622176591377,Tim,Hardaway Jr.,T. Hardaway Jr.
235,HOU,G,"6'5""",220,8/26/1989, James  Harden,28.386036960985628,James,Harden,J. Harden
236,POR,SF,"6'9""",220,5/11/1993, Maurice  Harkless,24.67898699520876,Maurice,Harkless,M. Harkless
237,LAC,F/C,"6'8""",240,1/26/1994, Montrezl  Harrell,23.967145790554415,Montrezl,Harrell,M. Harrell
238,DAL,G,"6'3""",185,2/27/1983, Devin  Harris,34.88021902806297,Devin,Harris,D. Harris
